Event,TimeSinceStart,Days,Hours,Minutes,AvgPlantGrowth,SectionNumber,PlantType,NoOfSprinklers,NoOfHeaters,TempSensors,SoilSensors,HumiditySensor,WaterLevel,WaterNeed,SprinklerStatus,CurrentTempera,HeaterStatus,FertilizerLevel,LowDayLight,LowLightSeverity,PestAttack,PestSeverity,Power Failure,PowerOffTimeRemaining,Rain,RainTimeRemaining,WaterCutOff,WaterCutOffTimeRemaining
Sprinklers turned OFF,4905,3,9,45,5.93,1,Wheat,10,10,true,true,true,132.88,14.83,Off,63.68,On,178.75,false,0.0,true,67.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4920,3,10,0,5.93,1,Wheat,10,10,true,true,true,129.17,14.83,Off,66.88,On,178.75,false,0.0,true,66.0,false,0,false,0,false,0,
Heaters turned OFF,4980,3,11,0,5.98,1,Wheat,10,10,true,true,true,114.25,14.95,Off,74.68,Off,178.75,false,0.0,true,66.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4980,3,11,0,5.98,1,Wheat,10,10,true,true,true,114.25,14.95,Off,74.68,Off,178.75,false,0.0,true,65.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5040,3,12,0,6.03,1,Wheat,10,10,true,true,true,99.46,15.08,Off,78.68,Off,178.75,false,0.0,true,64.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5100,3,13,0,6.08,1,Wheat,10,10,true,true,true,84.29,15.20,Off,83.68,Off,178.75,false,0.0,true,63.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5160,3,14,0,6.13,1,Wheat,10,10,true,true,true,68.99,15.32,Off,88.68,Off,178.75,false,0.0,true,62.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5220,3,15,0,6.18,1,Wheat,10,10,true,true,true,54.09,15.45,Off,90.68,Off,178.75,false,0.0,true,61.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5280,3,16,0,6.23,1,Wheat,10,10,true,true,true,38.55,15.57,Off,91.68,Off,178.75,false,0.0,true,60.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5340,3,17,0,6.28,1,Wheat,10,10,true,true,true,23.41,15.70,Off,96.68,Off,178.75,false,0.0,true,59.0,false,0,false,0,false,0,
Sprinklers turned ON,5370,3,17,30,6.33,1,Wheat,10,10,true,true,true,15.53,15.82,On,96.68,Off,178.75,false,0.0,true,59.0,false,0,false,0,false,0,
Sprinklers turned OFF,5385,3,17,45,6.33,1,Wheat,10,10,true,true,true,136.58,15.82,Off,96.68,Off,178.75,false,0.0,true,59.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5400,3,18,0,6.33,1,Wheat,10,10,true,true,true,132.62,15.82,Off,93.68,Off,178.75,false,0.0,true,58.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5460,3,19,0,6.38,1,Wheat,10,10,true,true,true,116.71,15.95,Off,86.68,Off,178.75,false,0.0,true,57.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5520,3,20,0,6.43,1,Wheat,10,10,true,true,true,100.67,16.07,Off,82.68,Off,178.75,false,0.0,true,56.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5580,3,21,0,6.48,1,Wheat,10,10,true,true,true,84.50,16.20,Off,76.68,Off,178.75,false,0.0,true,55.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5640,3,22,0,6.53,1,Wheat,10,10,true,true,true,69.02,16.32,Off,70.68,Off,178.75,false,0.0,true,54.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5700,3,23,0,6.58,1,Wheat,10,10,true,true,true,52.60,16.45,Off,62.68,Off,178.75,false,0.0,true,53.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5760,4,0,0,6.63,1,Wheat,10,10,true,true,true,36.33,16.58,Off,59.68,Off,178.75,false,0.0,true,52.0,false,0,false,0,false,0,
New Day,5760,4,0,0,6.68,1,Wheat,10,10,true,true,true,36.33,16.71,Off,59.68,Off,178.75,false,0.0,true,52.0,false,0,false,0,false,0,
Water CutOff Occurs,5760,4,0,0,6.68,1,Wheat,10,10,true,true,true,36.33,16.71,Off,59.68,Off,98.56,false,0.0,true,52.0,false,0,false,0,true,3,
Plant Growth Slows due to Pest Attack,5820,4,1,0,6.68,1,Wheat,10,10,true,true,true,20.31,16.71,Off,56.68,Off,98.56,false,0.0,true,51.0,false,0,false,0,true,3,
Plant Growth Slows due to Pest Attack,5880,4,2,0,6.73,1,Wheat,10,10,true,true,true,4.00,16.84,Off,50.68,Off,98.56,false,0.0,true,50.0,false,0,false,0,true,2,
Plant Growth Slows due to Pest Attack,5940,4,3,0,6.79,1,Wheat,10,10,true,true,true,-12.30,16.96,Off,42.68,Off,98.56,false,0.0,true,49.0,false,0,false,0,true,1,
Sprinklers turned ON,5955,4,3,15,6.84,1,Wheat,10,10,true,true,true,-16.44,17.09,On,42.68,Off,98.56,false,0.0,true,49.0,false,0,false,0,false,0,
Sprinklers turned OFF,5970,4,3,30,6.84,1,Wheat,10,10,true,true,true,96.23,17.09,Off,42.68,Off,98.56,false,0.0,true,49.0,false,0,false,0,false,0,
Heaters turned ON,6000,4,4,0,6.84,1,Wheat,10,10,true,true,true,87.69,17.09,Off,34.68,On,98.56,false,0.0,true,49.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6000,4,4,0,6.84,1,Wheat,10,10,true,true,true,87.69,17.09,Off,34.68,On,98.56,false,0.0,true,48.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6060,4,5,0,6.89,1,Wheat,10,10,true,true,true,70.50,17.22,Off,35.48,On,98.56,false,0.0,true,47.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6120,4,6,0,6.94,1,Wheat,10,10,true,true,true,53.46,17.35,Off,34.20,On,98.56,false,0.0,true,46.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6180,4,7,0,6.99,1,Wheat,10,10,true,true,true,36.30,17.48,Off,39.92,On,98.56,false,0.0,true,45.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6240,4,8,0,7.05,1,Wheat,10,10,true,true,true,18.72,17.62,Off,48.72,On,98.56,false,0.0,true,44.0,false,0,false,0,false,0,
Sprinklers turned ON,6255,4,8,15,7.10,1,Wheat,10,10,true,true,true,14.32,17.75,On,49.92,On,98.56,false,0.0,true,44.0,false,0,false,0,false,0,
Sprinklers turned OFF,6270,4,8,30,7.10,1,Wheat,10,10,true,true,true,134.88,17.75,Off,51.12,On,98.56,false,0.0,true,44.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6300,4,9,0,7.10,1,Wheat,10,10,true,true,true,126.01,17.75,Off,57.52,On,98.56,false,0.0,true,43.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6360,4,10,0,7.15,1,Wheat,10,10,true,true,true,108.16,17.88,Off,66.32,On,98.56,false,0.0,true,42.0,false,0,false,0,false,0,
Heaters turned OFF,6420,4,11,0,7.20,1,Wheat,10,10,true,true,true,90.18,18.01,Off,76.12,Off,98.56,false,0.0,true,42.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6420,4,11,0,7.20,1,Wheat,10,10,true,true,true,90.18,18.01,Off,76.12,Off,98.56,false,0.0,true,41.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6480,4,12,0,7.26,1,Wheat,10,10,true,true,true,72.07,18.14,Off,79.12,Off,98.56,false,0.0,true,40.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6540,4,13,0,7.31,1,Wheat,10,10,true,true,true,53.83,18.28,Off,84.12,Off,98.56,false,0.0,true,39.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6600,4,14,0,7.36,1,Wheat,10,10,true,true,true,35.45,18.41,Off,86.12,Off,98.56,false,0.0,true,38.0,false,0,false,0,false,0,
Sprinklers turned ON,6660,4,15,0,7.42,1,Wheat,10,10,true,true,true,16.94,18.55,On,86.12,Off,98.56,false,0.0,true,38.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6660,4,15,0,7.42,1,Wheat,10,10,true,true,true,16.94,18.55,On,90.12,Off,98.56,false,0.0,true,37.0,false,0,false,0,false,0,
Sprinklers turned OFF,6675,4,15,15,7.47,1,Wheat,10,10,true,true,true,137.30,18.68,Off,90.12,Off,98.56,false,0.0,true,37.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6720,4,16,0,7.47,1,Wheat,10,10,true,true,true,123.91,18.68,Off,95.12,Off,98.56,false,0.0,true,36.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6780,4,17,0,7.53,1,Wheat,10,10,true,true,true,105.75,18.82,Off,100.12,Off,98.56,false,0.0,true,35.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6840,4,18,0,7.58,1,Wheat,10,10,true,true,true,87.15,18.95,Off,95.12,Off,98.56,false,0.0,true,34.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6900,4,19,0,7.64,1,Wheat,10,10,true,true,true,68.10,19.09,Off,89.12,Off,98.56,false,0.0,true,33.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6960,4,20,0,7.69,1,Wheat,10,10,true,true,true,48.91,19.23,Off,84.12,Off,98.56,false,0.0,true,32.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7020,4,21,0,7.75,1,Wheat,10,10,true,true,true,29.58,19.36,Off,77.12,Off,98.56,false,0.0,true,31.0,false,0,false,0,false,0,
Sprinklers turned ON,7065,4,21,45,7.80,1,Wheat,10,10,true,true,true,14.99,19.50,On,77.12,Off,98.56,false,0.0,true,31.0,false,0,false,0,false,0,
Sprinklers turned OFF,7080,4,22,0,7.80,1,Wheat,10,10,true,true,true,135.11,19.50,Off,77.12,Off,98.56,false,0.0,true,31.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7080,4,22,0,7.80,1,Wheat,10,10,true,true,true,135.11,19.50,Off,70.12,Off,98.56,false,0.0,true,30.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7140,4,23,0,7.86,1,Wheat,10,10,true,true,true,115.51,19.64,Off,65.12,Off,98.56,false,0.0,true,29.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7200,5,0,0,7.91,1,Wheat,10,10,true,true,true,95.76,19.78,Off,58.12,Off,98.56,false,0.0,true,28.0,false,0,false,0,false,0,
New Day,7200,5,0,0,7.97,1,Wheat,10,10,true,true,true,95.76,19.92,Off,58.12,Off,98.56,false,0.0,true,28.0,false,0,false,0,false,0,
No Random Event Happened,7200,5,0,0,7.97,1,Wheat,10,10,true,true,true,95.76,19.92,Off,58.12,Off,2.95,false,0.0,true,28.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7260,5,1,0,7.97,1,Wheat,10,10,true,true,true,75.88,19.92,Off,53.12,Off,2.95,false,0.0,true,27.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7260,5,1,0,7.97,1,Wheat,10,10,true,true,true,75.88,19.92,Off,53.12,Off,2.95,false,0.0,true,27.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7320,5,2,0,8.01,1,Wheat,10,10,true,true,true,55.88,20.02,Off,48.12,Off,2.95,false,0.0,true,26.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7320,5,2,0,8.01,1,Wheat,10,10,true,true,true,55.88,20.02,Off,48.12,Off,2.95,false,0.0,true,26.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7380,5,3,0,8.05,1,Wheat,10,10,true,true,true,35.79,20.12,Off,40.12,Off,2.95,false,0.0,true,25.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7380,5,3,0,8.05,1,Wheat,10,10,true,true,true,35.79,20.12,Off,40.12,Off,2.95,false,0.0,true,25.0,false,0,false,0,false,0,
Sprinklers turned ON,7440,5,4,0,8.09,1,Wheat,10,10,true,true,true,15.93,20.22,On,40.12,Off,2.95,false,0.0,true,25.0,false,0,false,0,false,0,
Heaters turned ON,7440,5,4,0,8.09,1,Wheat,10,10,true,true,true,15.93,20.22,On,36.12,On,2.95,false,0.0,true,25.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7440,5,4,0,8.09,1,Wheat,10,10,true,true,true,15.93,20.22,On,36.12,On,2.95,false,0.0,true,24.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7440,5,4,0,8.09,1,Wheat,10,10,true,true,true,15.93,20.22,On,36.12,On,2.95,false,0.0,true,24.0,false,0,false,0,false,0,
Sprinklers turned OFF,7455,5,4,15,8.13,1,Wheat,10,10,true,true,true,135.87,20.33,Off,37.32,On,2.95,false,0.0,true,24.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7500,5,5,0,8.13,1,Wheat,10,10,true,true,true,121.64,20.33,Off,34.68,On,2.95,false,0.0,true,23.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7500,5,5,0,8.13,1,Wheat,10,10,true,true,true,121.64,20.33,Off,34.68,On,2.95,false,0.0,true,23.0,false,0,false,0,false,0,
