Event,TimeSinceStart,Days,Hours,Minutes,AvgPlantGrowth,SectionNumber,PlantType,NoOfSprinklers,NoOfHeaters,TempSensors,SoilSensors,HumiditySensor,WaterLevel,WaterNeed,SprinklerStatus,CurrentTempera,HeaterStatus,FertilizerLevel,LowDayLight,LowLightSeverity,PestAttack,PestSeverity,Power Failure,PowerOffTimeRemaining,Rain,RainTimeRemaining,WaterCutOff,WaterCutOffTimeRemaining
Sprinklers turned ON,5535,3,20,15,8.65,2,Corn,10,5,true,true,true,-144.19,17.30,On,29.56,Off,340.55,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,5565,3,20,45,8.65,2,Corn,10,5,true,true,true,97.16,17.30,Off,29.56,Off,340.55,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,5580,3,21,0,8.65,2,Corn,10,5,true,true,true,92.84,17.30,Off,21.56,On,340.55,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,5760,4,0,0,8.99,2,Corn,10,5,true,true,true,40.05,17.97,Off,17.96,On,340.55,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event,5760,4,0,0,8.99,2,Corn,10,5,true,true,true,40.05,17.97,Off,17.96,On,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,5835,4,1,15,9.07,2,Corn,10,5,true,true,true,17.62,18.14,On,15.96,On,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,5850,4,1,30,9.07,2,Corn,10,5,true,true,true,138.09,18.14,Off,17.16,On,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,6240,4,8,0,9.57,2,Corn,10,5,true,true,true,17.87,19.14,On,23.12,On,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,6255,4,8,15,9.65,2,Corn,10,5,true,true,true,138.08,19.30,Off,28.32,On,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,6600,4,14,0,10.07,2,Corn,10,5,true,true,true,25.45,20.14,Off,75.76,Off,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,6630,4,14,30,10.15,2,Corn,10,5,true,true,true,15.68,20.30,On,75.76,Off,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,6645,4,14,45,10.15,2,Corn,10,5,true,true,true,127.61,20.30,Off,75.76,Off,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,6960,4,20,0,10.57,2,Corn,10,5,true,true,true,19.06,21.14,On,71.76,Off,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,6975,4,20,15,10.65,2,Corn,10,5,true,true,true,138.77,21.30,Off,68.76,Off,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,7200,5,0,0,10.99,2,Corn,10,5,true,true,true,58.00,21.97,Off,43.76,Off,178.81,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event Happened,7200,5,0,0,10.99,2,Corn,10,5,true,true,true,58.00,21.97,Off,43.76,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,7260,5,1,0,10.99,2,Corn,10,5,true,true,true,36.07,21.97,Off,36.76,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7260,5,1,0,10.99,2,Corn,10,5,true,true,true,36.07,21.97,Off,36.76,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,7305,5,1,45,11.04,2,Corn,10,5,true,true,true,19.91,22.09,On,40.28,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,7320,5,2,0,11.04,2,Corn,10,5,true,true,true,139.38,22.09,Off,41.48,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7320,5,2,0,11.04,2,Corn,10,5,true,true,true,139.38,22.09,Off,36.48,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7380,5,3,0,11.10,2,Corn,10,5,true,true,true,117.58,22.21,Off,33.20,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7440,5,4,0,11.16,2,Corn,10,5,true,true,true,95.28,22.32,Off,35.00,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7500,5,5,0,11.22,2,Corn,10,5,true,true,true,72.87,22.44,Off,36.80,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7560,5,6,0,11.28,2,Corn,10,5,true,true,true,50.34,22.56,Off,37.60,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7620,5,7,0,11.34,2,Corn,10,5,true,true,true,27.69,22.68,Off,47.40,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,7635,5,7,15,11.40,2,Corn,10,5,true,true,true,22.02,22.79,On,48.60,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,7650,5,7,30,11.40,2,Corn,10,5,true,true,true,141.32,22.79,Off,49.80,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7680,5,8,0,11.40,2,Corn,10,5,true,true,true,129.93,22.79,Off,56.20,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7740,5,9,0,11.46,2,Corn,10,5,true,true,true,107.04,22.91,Off,64.00,On,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,7800,5,10,0,11.52,2,Corn,10,5,true,true,true,84.42,23.03,Off,70.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7800,5,10,0,11.52,2,Corn,10,5,true,true,true,84.42,23.03,Off,70.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7860,5,11,0,11.57,2,Corn,10,5,true,true,true,61.31,23.15,Off,74.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7920,5,12,0,11.63,2,Corn,10,5,true,true,true,38.07,23.27,Off,77.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,7965,5,12,45,11.69,2,Corn,10,5,true,true,true,20.56,23.38,On,77.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,7980,5,13,0,11.69,2,Corn,10,5,true,true,true,139.72,23.38,Off,77.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7980,5,13,0,11.69,2,Corn,10,5,true,true,true,139.72,23.38,Off,79.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8040,5,14,0,11.75,2,Corn,10,5,true,true,true,116.24,23.50,Off,82.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8100,5,15,0,11.81,2,Corn,10,5,true,true,true,92.66,23.62,Off,86.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8160,5,16,0,11.87,2,Corn,10,5,true,true,true,68.95,23.74,Off,89.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8220,5,17,0,11.93,2,Corn,10,5,true,true,true,45.13,23.85,Off,94.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,8280,5,18,0,11.99,2,Corn,10,5,true,true,true,21.18,23.97,On,94.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8280,5,18,0,11.99,2,Corn,10,5,true,true,true,21.18,23.97,On,86.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,8295,5,18,15,12.04,2,Corn,10,5,true,true,true,140.19,24.09,Off,86.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8340,5,19,0,12.04,2,Corn,10,5,true,true,true,122.12,24.09,Off,79.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8400,5,20,0,12.10,2,Corn,10,5,true,true,true,97.95,24.21,Off,75.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8460,5,21,0,12.16,2,Corn,10,5,true,true,true,73.65,24.32,Off,72.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8520,5,22,0,12.22,2,Corn,10,5,true,true,true,49.65,24.44,Off,66.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8580,5,23,0,12.28,2,Corn,10,5,true,true,true,25.12,24.56,Off,58.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,8595,5,23,15,12.34,2,Corn,10,5,true,true,true,18.98,24.68,On,58.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,8610,5,23,30,12.34,2,Corn,10,5,true,true,true,137.81,24.68,Off,58.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8641,6,0,1,12.34,2,Corn,10,5,true,true,true,125.47,24.68,Off,51.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,8641,6,0,1,12.40,2,Corn,10,5,true,true,true,125.47,24.79,Off,51.72,Off,-18.93,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event Happened,8641,6,0,1,12.40,2,Corn,10,5,true,true,true,125.47,24.79,Off,51.72,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8700,6,1,0,12.40,2,Corn,10,5,true,true,true,101.12,24.79,Off,43.72,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,8760,6,2,0,12.46,2,Corn,10,5,true,true,true,76.65,24.91,Off,35.72,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8760,6,2,0,12.46,2,Corn,10,5,true,true,true,76.65,24.91,Off,35.72,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8820,6,3,0,12.52,2,Corn,10,5,true,true,true,51.64,25.03,Off,37.52,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8880,6,4,0,12.57,2,Corn,10,5,true,true,true,27.36,25.15,Off,39.16,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,8895,6,4,15,12.63,2,Corn,10,5,true,true,true,21.08,25.27,On,40.36,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,8910,6,4,30,12.63,2,Corn,10,5,true,true,true,139.76,25.27,Off,41.56,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,8940,6,5,0,12.63,2,Corn,10,5,true,true,true,127.13,25.27,Off,38.96,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9000,6,6,0,12.69,2,Corn,10,5,true,true,true,101.77,25.38,Off,36.76,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9060,6,7,0,12.75,2,Corn,10,5,true,true,true,76.30,25.50,Off,46.56,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9120,6,8,0,12.81,2,Corn,10,5,true,true,true,51.14,25.62,Off,55.28,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,9180,6,9,0,12.87,2,Corn,10,5,true,true,true,25.43,25.74,On,60.08,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9180,6,9,0,12.87,2,Corn,10,5,true,true,true,25.43,25.74,On,65.08,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,9195,6,9,15,12.93,2,Corn,10,5,true,true,true,144.00,25.85,Off,66.28,On,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,9240,6,10,0,12.93,2,Corn,10,5,true,true,true,124.61,25.85,Off,73.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9240,6,10,0,12.93,2,Corn,10,5,true,true,true,124.61,25.85,Off,73.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9300,6,11,0,12.99,2,Corn,10,5,true,true,true,98.67,25.97,Off,78.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9360,6,12,0,13.04,2,Corn,10,5,true,true,true,72.61,26.09,Off,82.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9420,6,13,0,13.10,2,Corn,10,5,true,true,true,46.86,26.21,Off,87.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,9480,6,14,0,13.16,2,Corn,10,5,true,true,true,20.57,26.32,On,87.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9480,6,14,0,13.16,2,Corn,10,5,true,true,true,20.57,26.32,On,88.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,9495,6,14,15,13.22,2,Corn,10,5,true,true,true,138.99,26.44,Off,88.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9540,6,15,0,13.22,2,Corn,10,5,true,true,true,119.16,26.44,Off,89.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9600,6,16,0,13.28,2,Corn,10,5,true,true,true,92.63,26.56,Off,93.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9660,6,17,0,13.34,2,Corn,10,5,true,true,true,65.98,26.68,Off,97.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9720,6,18,0,13.40,2,Corn,10,5,true,true,true,39.21,26.79,Off,90.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,9750,6,18,30,13.46,2,Corn,10,5,true,true,true,25.79,26.91,On,90.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,9765,6,18,45,13.46,2,Corn,10,5,true,true,true,144.06,26.91,Off,90.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9780,6,19,0,13.46,2,Corn,10,5,true,true,true,137.33,26.91,Off,83.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9840,6,20,0,13.52,2,Corn,10,5,true,true,true,110.33,27.03,Off,79.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9900,6,21,0,13.57,2,Corn,10,5,true,true,true,83.21,27.15,Off,75.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,9960,6,22,0,13.63,2,Corn,10,5,true,true,true,55.97,27.27,Off,67.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10020,6,23,0,13.69,2,Corn,10,5,true,true,true,28.62,27.38,Off,62.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,10035,6,23,15,13.75,2,Corn,10,5,true,true,true,21.78,27.50,On,62.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,10050,6,23,30,13.75,2,Corn,10,5,true,true,true,139.90,27.50,Off,62.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10080,7,0,0,13.75,2,Corn,10,5,true,true,true,126.15,27.50,Off,57.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,10080,7,0,0,13.81,2,Corn,10,5,true,true,true,126.15,27.62,Off,57.88,Off,-242.09,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event Happened,10080,7,0,0,13.81,2,Corn,10,5,true,true,true,126.15,27.62,Off,57.88,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10140,7,1,0,13.81,2,Corn,10,5,true,true,true,98.56,27.62,Off,54.88,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10200,7,2,0,13.87,2,Corn,10,5,true,true,true,70.85,27.74,Off,51.88,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10260,7,3,0,13.93,2,Corn,10,5,true,true,true,43.52,27.85,Off,48.88,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,10305,7,3,45,13.99,2,Corn,10,5,true,true,true,22.57,27.97,On,48.88,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,10320,7,4,0,13.99,2,Corn,10,5,true,true,true,109.11,27.97,Off,48.88,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10320,7,4,0,13.99,2,Corn,10,5,true,true,true,109.11,27.97,Off,44.88,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10380,7,5,0,14.04,2,Corn,10,5,true,true,true,84.78,28.09,Off,41.88,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,10440,7,6,0,14.10,2,Corn,10,5,true,true,true,57.55,28.21,Off,36.88,On,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10440,7,6,0,14.10,2,Corn,10,5,true,true,true,57.55,28.21,Off,36.88,On,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10500,7,7,0,14.16,2,Corn,10,5,true,true,true,29.25,28.32,Off,42.68,On,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,10515,7,7,15,14.22,2,Corn,10,5,true,true,true,22.17,28.44,On,43.88,On,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,10530,7,7,30,14.22,2,Corn,10,5,true,true,true,140.06,28.44,Off,45.08,On,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10560,7,8,0,14.22,2,Corn,10,5,true,true,true,125.84,28.44,Off,50.48,On,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10620,7,9,0,14.28,2,Corn,10,5,true,true,true,98.26,28.56,Off,56.12,On,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10680,7,10,0,14.34,2,Corn,10,5,true,true,true,69.61,28.68,Off,62.92,On,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,10740,7,11,0,14.40,2,Corn,10,5,true,true,true,40.85,28.79,Off,70.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10740,7,11,0,14.40,2,Corn,10,5,true,true,true,40.85,28.79,Off,70.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,10770,7,11,30,14.46,2,Corn,10,5,true,true,true,26.42,28.91,On,70.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,10785,7,11,45,14.46,2,Corn,10,5,true,true,true,144.19,28.91,Off,70.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10800,7,12,0,14.46,2,Corn,10,5,true,true,true,136.97,28.91,Off,73.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10860,7,13,0,14.52,2,Corn,10,5,true,true,true,107.96,29.03,Off,78.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10920,7,14,0,14.57,2,Corn,10,5,true,true,true,79.33,29.15,Off,82.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,10980,7,15,0,14.63,2,Corn,10,5,true,true,true,50.10,29.27,Off,83.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,11025,7,15,45,14.69,2,Corn,10,5,true,true,true,28.58,29.38,On,83.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,11040,7,16,0,14.69,2,Corn,10,5,true,true,true,146.23,29.38,Off,83.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,11040,7,16,0,14.69,2,Corn,10,5,true,true,true,146.23,29.38,Off,84.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,11100,7,17,0,14.75,2,Corn,10,5,true,true,true,116.76,29.50,Off,89.72,Off,-490.65,false,0.0,false,0.0,false,0,false,0,false,0,
