Event,TimeSinceStart,Days,Hours,Minutes,AvgPlantGrowth,SectionNumber,PlantType,NoOfSprinklers,NoOfHeaters,TempSensors,SoilSensors,HumiditySensor,WaterLevel,WaterNeed,SprinklerStatus,CurrentTempera,HeaterStatus,FertilizerLevel,LowDayLight,LowLightSeverity,PestAttack,PestSeverity,Power Failure,PowerOffTimeRemaining,Rain,RainTimeRemaining,WaterCutOff,WaterCutOffTimeRemaining
Sprinklers turned OFF,5370,3,17,30,6.56,6,Wheat,10,10,true,true,true,136.42,16.41,Off,95.40,Off,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,5760,4,0,0,7.00,6,Wheat,10,10,true,true,true,27.30,17.50,Off,54.40,Off,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
Pest Attacks,5760,4,0,0,7.00,6,Wheat,10,10,true,true,true,27.30,17.50,Off,54.40,Off,94.75,false,0.0,true,38.0,false,0,false,0,false,0,
Sprinklers turned ON,5805,4,0,45,7.00,6,Wheat,10,10,true,true,true,14.80,17.50,On,54.40,Off,94.75,false,0.0,true,38.0,false,0,false,0,false,0,
Sprinklers turned OFF,5820,4,1,0,7.00,6,Wheat,10,10,true,true,true,127.38,17.50,Off,54.40,Off,94.75,false,0.0,true,38.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5820,4,1,0,7.00,6,Wheat,10,10,true,true,true,127.38,17.50,Off,50.40,Off,94.75,false,0.0,true,37.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5880,4,2,0,7.05,6,Wheat,10,10,true,true,true,110.07,17.63,Off,42.40,Off,94.75,false,0.0,true,36.0,false,0,false,0,false,0,
Heaters turned ON,5940,4,3,0,7.11,6,Wheat,10,10,true,true,true,92.63,17.77,Off,34.40,On,94.75,false,0.0,true,36.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,5940,4,3,0,7.11,6,Wheat,10,10,true,true,true,92.63,17.77,Off,34.40,On,94.75,false,0.0,true,35.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6000,4,4,0,7.16,6,Wheat,10,10,true,true,true,74.76,17.91,Off,31.20,On,94.75,false,0.0,true,34.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6060,4,5,0,7.22,6,Wheat,10,10,true,true,true,57.05,18.04,Off,28.92,On,94.75,false,0.0,true,33.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6120,4,6,0,7.27,6,Wheat,10,10,true,true,true,39.21,18.18,Off,27.64,On,94.75,false,0.0,true,32.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6180,4,7,0,7.33,6,Wheat,10,10,true,true,true,21.23,18.32,Off,37.36,On,94.75,false,0.0,true,31.0,false,0,false,0,false,0,
Sprinklers turned ON,6195,4,7,15,7.38,6,Wheat,10,10,true,true,true,16.65,18.45,On,38.56,On,94.75,false,0.0,true,31.0,false,0,false,0,false,0,
Sprinklers turned OFF,6210,4,7,30,7.38,6,Wheat,10,10,true,true,true,129.01,18.45,Off,39.68,On,94.75,false,0.0,true,31.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6240,4,8,0,7.38,6,Wheat,10,10,true,true,true,119.78,18.45,Off,47.08,On,94.75,false,0.0,true,30.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6300,4,9,0,7.44,6,Wheat,10,10,true,true,true,101.22,18.59,Off,52.88,On,94.75,false,0.0,true,29.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6360,4,10,0,7.49,6,Wheat,10,10,true,true,true,83.15,18.73,Off,59.52,On,94.75,false,0.0,true,28.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6420,4,11,0,7.55,6,Wheat,10,10,true,true,true,64.94,18.87,Off,65.16,On,94.75,false,0.0,true,27.0,false,0,false,0,false,0,
Heaters turned OFF,6480,4,12,0,7.60,6,Wheat,10,10,true,true,true,45.97,19.01,Off,72.96,Off,94.75,false,0.0,true,27.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6480,4,12,0,7.60,6,Wheat,10,10,true,true,true,45.97,19.01,Off,72.96,Off,94.75,false,0.0,true,26.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6540,4,13,0,7.66,6,Wheat,10,10,true,true,true,26.85,19.15,Off,73.96,Off,94.75,false,0.0,true,25.0,false,0,false,0,false,0,
Sprinklers turned ON,6570,4,13,30,7.72,6,Wheat,10,10,true,true,true,17.24,19.29,On,73.96,Off,94.75,false,0.0,true,25.0,false,0,false,0,false,0,
Sprinklers turned OFF,6585,4,13,45,7.72,6,Wheat,10,10,true,true,true,137.42,19.29,Off,73.96,Off,94.75,false,0.0,true,25.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6600,4,14,0,7.72,6,Wheat,10,10,true,true,true,132.91,19.29,Off,76.96,Off,94.75,false,0.0,true,24.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6660,4,15,0,7.77,6,Wheat,10,10,true,true,true,114.16,19.43,Off,81.96,Off,94.75,false,0.0,true,23.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6720,4,16,0,7.83,6,Wheat,10,10,true,true,true,94.95,19.58,Off,86.96,Off,94.75,false,0.0,true,22.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6780,4,17,0,7.89,6,Wheat,10,10,true,true,true,75.59,19.72,Off,90.96,Off,94.75,false,0.0,true,21.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6840,4,18,0,7.94,6,Wheat,10,10,true,true,true,56.10,19.86,Off,83.96,Off,94.75,false,0.0,true,20.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6900,4,19,0,8.00,6,Wheat,10,10,true,true,true,36.13,20.01,Off,75.96,Off,94.75,false,0.0,true,19.0,false,0,false,0,false,0,
Sprinklers turned ON,6960,4,20,0,8.06,6,Wheat,10,10,true,true,true,16.01,20.15,On,75.96,Off,94.75,false,0.0,true,19.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,6960,4,20,0,8.06,6,Wheat,10,10,true,true,true,16.01,20.15,On,68.96,Off,94.75,false,0.0,true,18.0,false,0,false,0,false,0,
Sprinklers turned OFF,6975,4,20,15,8.12,6,Wheat,10,10,true,true,true,135.98,20.29,Off,68.96,Off,94.75,false,0.0,true,18.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7020,4,21,0,8.12,6,Wheat,10,10,true,true,true,120.75,20.29,Off,60.96,Off,94.75,false,0.0,true,17.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7080,4,22,0,8.18,6,Wheat,10,10,true,true,true,100.35,20.44,Off,54.96,Off,94.75,false,0.0,true,16.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7140,4,23,0,8.23,6,Wheat,10,10,true,true,true,80.14,20.59,Off,51.96,Off,94.75,false,0.0,true,15.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7200,5,0,0,8.29,6,Wheat,10,10,true,true,true,59.45,20.73,Off,48.96,Off,94.75,false,0.0,true,14.0,false,0,false,0,false,0,
New Day,7200,5,0,0,8.35,6,Wheat,10,10,true,true,true,59.45,20.88,Off,48.96,Off,94.75,false,0.0,true,14.0,false,0,false,0,false,0,
No Random Event Happened,7200,5,0,0,8.35,6,Wheat,10,10,true,true,true,59.45,20.88,Off,48.96,Off,-5.47,false,0.0,true,14.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7260,5,1,0,8.35,6,Wheat,10,10,true,true,true,38.95,20.88,Off,42.96,Off,-5.47,false,0.0,true,13.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7260,5,1,0,8.35,6,Wheat,10,10,true,true,true,38.95,20.88,Off,42.96,Off,-5.47,false,0.0,true,13.0,false,0,false,0,false,0,
Sprinklers turned ON,7320,5,2,0,8.39,6,Wheat,10,10,true,true,true,17.99,20.99,On,42.96,Off,-5.47,false,0.0,true,13.0,false,0,false,0,false,0,
Heaters turned ON,7320,5,2,0,8.39,6,Wheat,10,10,true,true,true,17.99,20.99,On,35.96,On,-5.47,false,0.0,true,13.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7320,5,2,0,8.39,6,Wheat,10,10,true,true,true,17.99,20.99,On,35.96,On,-5.47,false,0.0,true,12.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7320,5,2,0,8.39,6,Wheat,10,10,true,true,true,17.99,20.99,On,35.96,On,-5.47,false,0.0,true,12.0,false,0,false,0,false,0,
Sprinklers turned OFF,7335,5,2,15,8.44,6,Wheat,10,10,true,true,true,137.75,21.09,Off,37.16,On,-5.47,false,0.0,true,12.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7380,5,3,0,8.44,6,Wheat,10,10,true,true,true,121.93,21.09,Off,36.76,On,-5.47,false,0.0,true,11.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7380,5,3,0,8.44,6,Wheat,10,10,true,true,true,121.93,21.09,Off,36.76,On,-5.47,false,0.0,true,11.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7440,5,4,0,8.48,6,Wheat,10,10,true,true,true,101.11,21.20,Off,37.48,On,-5.47,false,0.0,true,10.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7440,5,4,0,8.48,6,Wheat,10,10,true,true,true,101.11,21.20,Off,37.48,On,-5.47,false,0.0,true,10.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,7500,5,5,0,8.52,6,Wheat,10,10,true,true,true,80.19,21.30,Off,37.20,On,-5.47,false,0.0,true,9.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7500,5,5,0,8.52,6,Wheat,10,10,true,true,true,80.19,21.30,Off,37.20,On,-5.47,false,0.0,true,9.0,false,0,false,0,false,0,
