Event,TimeSinceStart,Days,Hours,Minutes,AvgPlantGrowth,SectionNumber,PlantType,NoOfSprinklers,NoOfHeaters,TempSensors,SoilSensors,HumiditySensor,WaterLevel,WaterNeed,SprinklerStatus,CurrentTempera,HeaterStatus,FertilizerLevel,LowDayLight,LowLightSeverity,PestAttack,PestSeverity,Power Failure,PowerOffTimeRemaining,Rain,RainTimeRemaining,WaterCutOff,WaterCutOffTimeRemaining
No Random Event Happened,2880,2,0,0,4.00,5,Wheat,10,10,true,true,true,51.07,10.00,Off,49.40,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,3000,2,2,0,4.06,5,Wheat,10,10,true,true,true,30.99,10.16,Off,36.40,On,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,3120,2,4,0,4.19,5,Wheat,10,10,true,true,true,10.46,10.47,On,38.92,On,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,3135,2,4,15,4.25,5,Wheat,10,10,true,true,true,132.84,10.62,Off,34.12,On,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,3540,2,11,0,4.62,5,Wheat,10,10,true,true,true,58.45,11.56,Off,74.36,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,3780,2,15,0,4.88,5,Wheat,10,10,true,true,true,11.18,12.19,On,83.36,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,3795,2,15,15,4.94,5,Wheat,10,10,true,true,true,133.13,12.34,Off,84.36,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,4320,3,0,0,5.50,5,Wheat,10,10,true,true,true,20.45,13.75,Off,51.36,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Rain Starts,4320,3,0,0,5.50,5,Wheat,10,10,true,true,true,20.45,13.75,Off,51.36,Off,356.00,false,0.0,false,0.0,false,0,true,11,false,0,
Fertilizers Balanced,4320,3,0,0,5.50,5,Wheat,10,10,true,true,true,20.45,13.75,Off,51.36,Off,178.75,false,0.0,false,0.0,false,0,true,11,false,0,
Sprinklers turned ON,4365,3,0,45,5.50,5,Wheat,10,10,true,true,true,10.40,13.75,On,51.36,Off,178.75,false,0.0,false,0.0,false,0,true,11,false,0,
Sprinklers turned OFF,4380,3,1,0,5.50,5,Wheat,10,10,true,true,true,131.96,13.75,Off,51.36,Off,178.75,false,0.0,false,0.0,false,0,true,11,false,0,
Heaters turned ON,4500,3,3,0,5.62,5,Wheat,10,10,true,true,true,204.07,14.06,Off,36.36,On,178.75,false,0.0,false,0.0,false,0,true,9,false,0,
Pumps Suck Excess Water,4755,3,7,15,5.94,5,Wheat,10,10,true,true,true,178.12,14.84,Off,43.76,On,178.75,false,0.0,false,0.0,false,0,true,4,false,0,
Heaters turned OFF,5040,3,12,0,6.19,5,Wheat,10,10,true,true,true,306.72,15.47,Off,78.40,Off,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,5760,4,0,0,7.00,5,Wheat,10,10,true,true,true,110.47,17.50,Off,65.40,Off,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event Happened,5760,4,0,0,7.00,5,Wheat,10,10,true,true,true,110.47,17.50,Off,65.40,Off,94.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,6075,4,5,15,7.31,5,Wheat,10,10,true,true,true,18.25,18.28,On,48.40,Off,94.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,6090,4,5,30,7.31,5,Wheat,10,10,true,true,true,138.68,18.28,Off,48.40,Off,94.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,6480,4,12,0,7.69,5,Wheat,10,10,true,true,true,18.04,19.22,On,61.40,Off,94.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,6495,4,12,15,7.75,5,Wheat,10,10,true,true,true,138.23,19.38,Off,63.40,Off,94.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,6870,4,18,30,8.12,5,Wheat,10,10,true,true,true,15.88,20.31,On,71.40,Off,94.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,6885,4,18,45,8.12,5,Wheat,10,10,true,true,true,135.80,20.31,Off,71.40,Off,94.75,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,7200,5,0,0,8.44,5,Wheat,10,10,true,true,true,27.01,21.09,Off,36.40,On,94.75,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,7200,5,0,0,8.50,5,Wheat,10,10,true,true,true,27.01,21.25,Off,36.40,On,94.75,false,0.0,false,0.0,false,0,false,0,false,0,
Low Day Light Event,7200,5,0,0,8.50,5,Wheat,10,10,true,true,true,27.01,21.25,Off,36.40,On,-7.25,true,18.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,7230,5,0,30,8.50,5,Wheat,10,10,true,true,true,16.78,21.25,On,38.72,On,-7.25,true,18.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,7245,5,0,45,8.50,5,Wheat,10,10,true,true,true,136.47,21.25,Off,39.92,On,-7.25,true,18.0,false,0.0,false,0,false,0,false,0,
Plant Growth Slows due to Low Sunlight,7260,5,1,0,8.50,5,Wheat,10,10,true,true,true,131.15,21.25,Off,34.12,On,-7.25,true,17.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7260,5,1,0,8.50,5,Wheat,10,10,true,true,true,131.15,21.25,Off,34.12,On,-7.25,true,17.0,false,0.0,false,0,false,0,false,0,
Plant Growth Slows due to Low Sunlight,7320,5,2,0,8.54,5,Wheat,10,10,true,true,true,110.18,21.35,Off,33.84,On,-7.25,true,16.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7320,5,2,0,8.54,5,Wheat,10,10,true,true,true,110.18,21.35,Off,33.84,On,-7.25,true,16.0,false,0.0,false,0,false,0,false,0,
Plant Growth Slows due to Low Sunlight,7380,5,3,0,8.58,5,Wheat,10,10,true,true,true,88.75,21.46,Off,30.64,On,-7.25,true,15.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7380,5,3,0,8.58,5,Wheat,10,10,true,true,true,88.75,21.46,Off,30.64,On,-7.25,true,15.0,false,0.0,false,0,false,0,false,0,
Plant Growth Slows due to Low Sunlight,7440,5,4,0,8.63,5,Wheat,10,10,true,true,true,67.92,21.57,Off,29.28,On,-7.25,true,14.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7440,5,4,0,8.63,5,Wheat,10,10,true,true,true,67.92,21.57,Off,29.28,On,-7.25,true,14.0,false,0.0,false,0,false,0,false,0,
Plant Growth Slows due to Low Sunlight,7500,5,5,0,8.67,5,Wheat,10,10,true,true,true,47.00,21.67,Off,25.92,On,-7.25,true,13.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Low Fertilizer,7500,5,5,0,8.67,5,Wheat,10,10,true,true,true,47.00,21.67,Off,25.92,On,-7.25,true,13.0,false,0.0,false,0,false,0,false,0,
